1212,1040,1310,1138
1212,1040,1138,966
1212,1040,966,794
1212,1040,794,622
1212,1040,622,450
1212,1040,450,278
1212,1040,278,106
1040,868,1398,1226
1040,868,1226,1054
1040,868,1054,882
1040,868,882,710
1040,868,710,538
1040,868,538,366
1040,868,366,194
1040,868,194,22
868,696,1310,1138
868,696,1138,966
868,696,966,794
868,696,794,622
868,696,622,450
868,696,450,278
868,696,278,106
696,524,1398,1226
696,524,1226,1054
696,524,1054,882
696,524,882,710
696,524,710,538
696,524,538,366
696,524,366,194
696,524,194,22
524,352,1310,1138
524,356,1138,966
524,356,966,794
524,356,794,622
524,356,622,450
524,356,450,278
524,356,278,106
352,180,1398,1226
352,184,1226,1054
352,184,1054,882
352,184,882,710
352,184,710,538
352,184,538,366
352,184,366,194
352,184,194,22
184,12,1310,1138
184,16,1138,966
184,16,966,794
184,16,794,622
184,16,622,450
184,16,450,278
184,16,278,106
